Title,Company,Company_Rating,Company_Reviews,Location,Salary_Range,Experience,Post_Day,Tags,Description
Data Scientist,_VOIS,4.0,609,"['Hybrid', 'Pune']",Not disclosed,10-20 Yrs,6 Days Ago,"['big data handling', 'Aiml', 'Machine Learning', 'AWS', 'Deep Learning', 'Artificial Intelligence', 'Ai Platform', 'Intelligence']",At least 1 certification in AWS will be preferred Should be able to build robust prescr...
Data Scientist(5),Ericsson,4.2,6564,['Noida'],Not disclosed,3-8 Yrs,7 Days Ago,"['Computer vision', 'orchestration', 'GCP', 'Analytical', 'Machine learning', 'Programming', 'Data processing', 'SQL']","Utilize Python for data manipulation, analysis, and modeling tasks. Proficient in SQL f..."
Data Scientist,Orange Business Services,4.3,1248,['Gurugram'],Not disclosed,3-5 Yrs,10 Days Ago,"['Automation', 'Front end', 'Machine learning', 'Javascript', 'Data processing', 'HTML', 'Application development', 'Customer support']","Document your work clearly and concisely, including research papers, technical reports,..."
Data Scientist,Global Pharma Tek,3.3,21,['Bengaluru'],Not disclosed,3-5 Yrs,12 Days Ago,"['data science', 'Tensorflow', 'deep learning', 'PyTorch', 'scikit-learn', 'OpenCV', 'Pandas', 'Natural Language Processing']","Bachelors Degree in a Quantitative discipline, preferably Computer Science Deep Learnin..."
"Data Scientist - Python, JavaScript - L&T Technology Services",Larsen & Toubro (L&T),4.0,16716,['Chennai'],Not disclosed,3-6 Yrs,12 Days Ago,"['SAS', 'Data Scientist', 'JavaScript', 'React', 'Python', 'MySQL', 'Data Mining', 'Statistical Analyses']","Not looking any Fresher. Reagrds, . Soujanya CExperience - 3 to 6 Years need early join..."
Data Scientist,Airtel International,4.0,12419,['Gurugram'],Not disclosed,6-11 Yrs,13 Days Ago,"['Artificial Intelligence', 'Big Data', 'Machine Learning', 'Pyspark', 'Hive', 'Hadoop', 'ETL', 'Python']",Technical Skills . 6+ years of AI / ML Engineering experience . 2+ years of experience ...
Data Scientist,Larsen & Toubro (L&T),4.0,16716,['Chennai'],Not disclosed,3-8 Yrs,13 Days Ago,"['Machine Learning', 'NLP', 'GCP', 'aws', 'Python', 'SQL', 'azure', 'Machine']",Must be able to deliver full stack code using Angular / React and PythonPreferred candi...
Data Scientist,Alyssum Global Services,5.0,8,"['Hybrid', 'Noida', 'New Delhi', 'Bengaluru']",6-15 Lacs PA,3-7 Yrs,14 Days Ago,"['R', 'Insight Generation', 'Artificial Neural Networks', 'Data Modeling', 'Python', 'Google Analytics', 'Decision Tree', 'Data Interpretation']","Experience using web services: Redshift, S3, Spark, DigitalOcean, etcLooking for someon..."
Data Scientist required For a reputed organisation in Hyderabad,Masadir Hr Services,No rating,No reviews,['Hyderabad'],8-18 Lacs PA,8-13 Yrs,3 Days Ago,"['Azure', 'Data Science', 'Data Scientist', 'ML Modelling', 'Machine Learning', 'SQL', 'Machine', 'Ml']",Proven experience of 6 + years as an Data Scientist Solid experience in data science ML...
Data Scientist,Cynosure Corporate Solutions,No rating,No reviews,['Chennai'],Not disclosed,2-6 Yrs,6 Days Ago,"['Natural Language Processing', 'Ml Algorithms', 'Deep Learning', 'Framework', 'Predictive Analytics', 'Algorithms', 'Data', 'Analytics']","Roles and Responsibilities:Required to Identify, develop and implement the appropriate ..."
Data Scientist (Banking/NBFC),Muthoot Microfin,4.4,848,"['Kochi/Cochin', 'Ernakulam']",25-35 Lacs PA,8-12 Yrs,12 Days Ago,"['SQL Query', 'Data Science', 'Data Wrangling and Visualization', 'Python', 'Predictive Analytics', 'Hypothesis Testing', 'Data Mining', 'Data Extraction']",The company is focused on providing micro-loans to women entrepreneurs with a focus on ...
